"token","german","english"
"prep_wrongplural3"," enthalten keine gültigen Zahlen. Gültige Zahlen müssen als Dezimaltrennzeichen einen Punkt (und kein Komma) nutzen und dürfen keine Buchstaben enthalten. Die Analyse wurde ohne diese beiden Parameter/Positionen durchgeführt."," include invalid numbers. Valid numbers must use a point as decimal mark (not a comma) and must not contain letters. The analysis is executed without the corresponding measurements/positions."
"prep_naplural1","Die Parameter ","The measurements/positions "
"prep_naplural2"," und "," and "
"prep_naplural3"," enthalten Elemente, die keine gültigen Zahlen sind oder fehlen. Gültige Zahlen müssen als Dezimaltrennzeichen einen Punkt (und kein Komma) nutzen und dürfen keine Buchstaben enthalten. Die betroffenen Elemente wurden entfernt."," include elements that are invalid or missing. Valid numbers must use a point as decimal mark (not a comma) and must not contain letters. The analysis is executed without the corresponding measurements/positions."
"prep_multiplural1","Die Parameter ","The measurements/positions "
"prep_multiplural2"," und "," and "
"prep_multiplural3"," wurden mehrfach verwendet. Die Analyse wird unbeachtet dessen durchgeführt."," are used several times. Nonetheless, the analysis is executed."
"prep_multisingular1","Der Parameter ","The measurement/position"
"prep_multisingular2"," wurde mehrfach verwendet. Die Analyse wird unbeachtet dessen durchgeführt."," was used several times. Nonetheless, the analysis is executed."
"in_params","Messwerte","Measurement"
"in_min","SOLL-Min","lower limit"
"in_mean","SOLL","target"
"in_max","SOLL-Max","upper limit"
"in_out","Anteil erlaubter Ausreisser","i.o. outliers"
"in_postext","zugehörige Positionswerte","associated positions"
"in_prioOrder","Die Priorität der Messwerte entspricht ihrer obigen Reihenfolge (oben = am wichtigsten).","Priority of the measurements corresponds to their order (top = most important)."
"in_length","Gutstücklänge","Piece length"
"in_analyze","Analysieren...","Analyze..."
"res_number","Anzahl Gutstücke","Number of pieces"
"res_length","Gutstücklänge","Piece length"
"res_good","Gutmaterial","Proper Material"
"res_material","Material","Material"
"res_badabs","Ausschuss Abs","Improper (abs.)"
"res_badrel","Ausschuss % ","Improper (%)"
"in_language","Die Sprache wird geändert sobald Sie das Analysetool neustarten.","The language will be changed when the tool is restarted."
"sort_title","Unsortierte Daten gefunden","Unsorted data detected"
"sort_lab1","Die Positionswerte in ","The positions in "
"sort_lab2"," liegen nicht in aufsteigender Reihenfolge vor. Dies kann zu Fehlfunktionen in der Analyse führen."," are not in an ascending order. This can lead to malfunctions in the analysis."
"sort_lab3","Möchten Sie die Positionsdaten sortieren?","Do you want to sort the positions?"
"sort_yes","Sortieren (empfohlen)","Sort (recommended)"
"sort_no","Positionen beibehalten","Keep positions"
"in_import","Grenzen importieren...","Import limits..."
"in_importxDist",155,316
"exp_allFiles","Alle Dateien","All files"
"exp_files","Dateien","files"
"input_csv",".csv (Internationales Format)",".csv"
"input_csvGermany",".csv (Deutsches Format)",".csv (German format)"
"input_xlsx",".xlsx",".xlsx"
"save_measurements","Messdaten speichern…","Save measurement data…"
"save_io_positions","i.O. Bereiche speichern…","Save i.o. areas…"
"save_plot","Abbildung speichern…","Save plot…"
"save_all_positions","i.O. und n.i.O. Bereiche speichern…","Save i.o. and n.i.o. areas…"
"save_internal","Internes R-Objekt speichern…","Save internal R-Object…"
"save_summary","Zusammenfassung speichern…","Save summary…"
